ID,GLOSS,CONCEPTICON_ID,CONCEPTICON_GLOSS
719,"dart (blowgun)",,
720,"deity/powerful spirit/culture figure",,
721,"fan",,
722,"feather headdress",,
723,"fetish, charm",,
724,"fish (with fish-poison)",,
725,"fish (with line)",,
726,"fishtrap",,
727,"flat bread, cassava bread",,
728,"flour/meal from manioc",,
729,"genipap",,
731,"gourd (dipper/bowl)",,
732,"grater",,
733,"grid of sticks for smoking meat or placing objects (shelf)",,
734,"griddle for cooking flatbread",,
736,"hammock",,
737,"shaman, healer",,
738,"hollow log/trough for beer-making",,
740,"machete",,
742,"fence, palisade",,
743,"panpipe",,
745,"plate",,
747,"resin",,
748,"ritual song cycle (kapiwaya)",,
749,"song (generic)",,
750,"starch (tapioca, other)",,
751,"stone for lighting fires",,
752,"sugarcane/sugar",,
753,"tapioca drink, mingau",,
756,"tipiti (manioc squeezer)",,
758,"tripod for washing manioc",,
759,"venom for darts, poison",,
760,"wax",,
761,"woven strainer/sieve",,
762,"yurupari, jurupari (or any flutes forbidden to women)",,
763,"tattoo",,
764,"armband",,
765,"awl",,
766,"bag (string)",,
767,"body feather decorations",,
768,"boomerang/throwing stick (generic)",,
769,"boomerang (number 7)",,
770,"boomerang (small)",,
771,"bowl (coolamon)",,
772,"cicatrice",,
773,"clapsticks",,
774,"club (nulla-nulla)",,
775,"cook in earth oven",,
776,"damper",,
777,"dipper (small coolamon)",,
778,"dreaming",,
779,"fire-saw",,
781,"fish (with spear)",,
782,"fishtrap (permanent)",,
783,"fishtrap (woven)",,
785,"flour (bush)",,
786,"grog",,
787,"hair belt",,
788,"headband",,
789,"healer",,
790,"house (European)",,
791,"initiation (circumcision)",,
792,"initiation (subincision)",,
793,"love song",,
794,"mangrove raft",,
795,"message stick",,
796,"nosepeg",,
797,"paint body, body paint",,
799,"public song cycle",,
800,"shelter (native)",,
801,"song (for entertainment)",,
802,"spear (fighting)",,
803,"spear (fishing)",,
804,"spearthrower",,
805,"speartip",,
806,"string (from hair)",,
807,"string (from vine)",,
808,"sugar",,
809,"tea",,
810,"tobacco (European)",,
811,"totem (conception)",,
812,"windbreak",,
813,"yandy (n)",,
814,"flour (European)",,
815,"spirit child",,
816,"net",,
817,"tree coffin",,
818,"earth oven",,
820,"bark",,
821,"fingernail",,
822,"heart",,
824,"mountain/hill",,
825,"green",,
826,"hot",,
828,"hallucinogenic snuff",,
829,"drum (large signal)",,
830,"fermented drink",,
831,"rope/string",,
